lens,subjectivity,com,polarity,JJ,VB,NN,NNP,VBD,VBP,JJR,RB,WP,JJS,IN,NNS,VBZ,MD,FW,CD,VBN,VBG,DT,PRP,RBR,CC,RBS,WDT,RP,WRB,TO,UH,SYM
622,0.2601731601731601,0.9571,1.0,11,2,36,1,2,4,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
563,0.7125541125541125,0.9468,1.0,15,2,28,0,0,2,0,4,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,0.0,-0.0258,-1.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,0.1,-0.3182,-1.0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
88,0.0,-0.7783,-1.0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
903,0.4545739348370928,0.9899,1.0,26,5,40,0,0,4,1,4,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
633,0.5599999999999999,0.6369,1.0,15,2,36,0,1,6,1,1,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1714,0.5626344086021505,0.9804,1.0,33,3,67,0,0,15,1,17,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1604,0.3970033670033669,0.9775,1.0,30,3,72,0,0,13,1,7,0,0,3,16,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
402,0.2208333333333333,0.9256,1.0,4,0,11,0,0,6,0,5,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
130,0.3772727272727273,0.0,0.0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,0.2772727272727273,0.0,0.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,0.1,0.4215,1.0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,0.95,0.4939,1.0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
84,0.1,0.0,0.0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
148,0.1,0.0,0.0,2,0,12,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,0.5,0.0,0.0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
82,0.3333333333333333,0.0,0.0,0,0,4,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,0.0,0.0,0.0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,0.0,0.0,0.0,2,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
